rms,spectral_centroid,percussive_rms,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,track_id,genre
0.14122495,3683.997535299753,0.08967331,166.70866935483872,-122.713936,117.76009,-42.334183,38.061005,-23.012323,23.920383,-11.944865,13.687291,-7.2945824,4.041143,-4.856605,-1.6612418,-6.306096,0.72326726,0.5352434,0.40912876,0.3805103,0.33303887,0.27109239,0.2877437,0.42596525,0.4049202,0.38735524,0.41114336,0.52061445,2,Hip-Hop
0.14524296,2928.3987028765446,0.061460696,99.38401442307692,-162.23242,131.43599,-18.42678,51.63137,-15.444844,23.860094,-7.8676643,10.6862335,-0.31459147,12.864646,-9.883205,0.06410434,0.76622707,0.5378775,0.6431669,0.49598458,0.4239204,0.38989958,0.3759896,0.38902816,0.4133764,0.46797913,0.48937392,0.5386373,0.53774786,5,Hip-Hop
0.18665588,2786.793350010779,0.07748643,112.34714673913044,-75.63154,154.53761,-63.849487,22.506426,2.4253585,10.459981,-13.007332,9.818939,-7.6407833,3.136315,-5.8653193,0.56130755,-8.277449,0.30940142,0.6598894,0.41484773,0.35618252,0.28841427,0.35581383,0.678695,0.4118866,0.3941551,0.34436017,0.586957,0.36426473,10,Pop
0.068458825,1957.3482105755363,0.0138811795,107.666015625,-322.99786,133.6849,15.4974375,54.755615,8.718211,37.022747,-2.1164107,15.265619,6.175477,-2.5992048,8.866509,-2.2544298,2.8581402,0.38349932,0.42873594,0.51883024,0.53094995,0.56120914,0.55044645,0.43723765,0.4002063,0.39167032,0.41028064,0.40328187,0.39423996,140,Folk
0.10085167,1768.6065656598578,0.021563515,103.359375,-253.31456,157.76938,-6.081675,26.920168,6.8138433,15.842272,-12.930041,10.373278,-0.60994476,-8.300909,8.038183,-5.5658903,2.9153304,0.22056845,0.20335408,0.2678259,0.24420887,0.32911474,0.42316252,0.33259663,0.3234197,0.35123384,0.5203031,0.57772166,0.30275792,141,Folk
0.47908017,1927.7341815372808,0.11358749,129.19921875,-57.178944,179.23718,-41.148636,28.595451,5.2721577,26.492119,-1.0861633,7.4089704,4.066856,8.892405,0.058793355,6.221765,1.2079647,0.31015128,0.30929872,0.30740765,0.41244268,0.32842955,0.36423647,0.5027819,0.42193764,0.44350258,0.49364266,0.3537374,0.2979137,148,Experimental
0.27465898,1825.3000254737328,0.07720559,147.65625,-109.97605,219.8887,-82.275826,31.656075,1.7832987,-22.88238,25.862375,2.6240268,2.4918435,14.979512,7.6762285,5.3210573,10.860849,0.3333159,0.33434677,0.38415125,0.51012033,0.38095066,0.5073456,0.4105783,0.45753554,0.37176338,0.3390709,0.48294213,0.32170218,182,Rock
0.13189296,2246.2529908562847,0.027892224,101.33272058823528,-183.45798,153.60577,-36.40665,26.382322,-1.2991022,2.862489,-11.369698,-13.557304,-10.5337105,-11.016889,-12.623338,-7.3969035,-10.581032,0.26798597,0.21335353,0.28567627,0.2759568,0.4166562,0.3719789,0.3304666,0.33198908,0.31951383,0.36039576,0.2341854,0.24460933,190,Folk
0.08284194,1797.4355652060658,0.016937613,99.38401442307692,-251.3536,185.02835,-41.53623,27.352703,4.492658,-2.695795,-1.2342025,-5.7571306,-6.7973857,-6.488481,-9.528712,-6.5597944,-7.802549,0.40272602,0.49368596,0.5078831,0.5752029,0.5599958,0.4659742,0.41633707,0.31418478,0.37844074,0.38628355,0.37180984,0.36622584,193,Folk
0.0957706,1644.3130752399222,0.019749964,101.33272058823528,-235.6932,181.2523,-38.292927,26.093523,1.2507675,0.9175074,-2.6399734,-6.7304354,-3.3668106,-8.183657,-9.518035,-6.756957,-7.9659724,0.37297443,0.36379823,0.40757486,0.3682887,0.46756467,0.4536699,0.33463627,0.3247904,0.38065487,0.48609877,0.3754938,0.3822868,194,Folk
0.045262296,1237.4317941173742,0.0062162774,117.45383522727272,-330.43475,158.03885,1.420187,4.751709,9.747272,-2.4701335,-5.2752476,-6.0360737,-4.6973233,-6.0592217,-6.6983376,-5.6719236,-5.9007416,0.5542005,0.43000495,0.4705572,0.40816328,0.44349328,0.4510997,0.27301806,0.21379124,0.21048768,0.30434483,0.28447452,0.4371605,197,Folk
0.11995845,2045.75856464266,0.035480138,99.38401442307692,-173.46313,164.03673,-45.321022,30.77496,9.586882,-2.9948618,-4.8371572,-6.010944,-6.069046,-4.782672,-5.6235747,-7.775161,-10.8001375,0.47146764,0.4569896,0.5560022,0.49669272,0.5067374,0.46745834,0.42618102,0.4560729,0.34839392,0.3679282,0.36858758,0.49190798,200,Folk
0.08668448,1590.4319375491557,0.011644418,123.046875,-311.8574,161.94849,1.9598303,20.64877,-5.548233,-12.314778,-19.70198,-14.929055,-12.670249,-15.797019,-18.113216,-12.643383,-14.357355,0.21243781,0.30296072,0.2430671,0.2295273,0.23931272,0.20069794,0.22665575,0.11016493,0.18266276,0.4298803,0.23353519,0.22769855,203,Folk
0.11675491,2203.635033704613,0.027494606,107.666015625,-206.41794,162.44835,-13.156395,12.7404995,0.73084784,14.560724,-9.86646,-6.118894,-12.568273,-11.321271,-10.43976,-6.7859354,-10.332552,0.23328774,0.3581939,0.38952735,0.2803341,0.20938139,0.27088994,0.52288973,0.44329408,0.32135049,0.38715795,0.29716036,0.27910307,204,Folk
0.046672147,1747.6954952173423,0.004916514,126.04801829268293,-396.81244,119.806206,10.3948965,6.3332963,1.9160094,-7.951346,-8.740448,-7.4846134,-4.7759933,-4.9402885,-4.5164595,-1.9545503,-1.319256,0.3613837,0.24673197,0.27271616,0.23159592,0.292925,0.2566425,0.21095096,0.26399013,0.18562812,0.22618923,0.2837128,0.44014555,207,Folk
0.14541696,2037.3474464319368,0.034693677,95.703125,-155.12373,167.90456,-39.960293,20.500843,-7.0097837,7.025798,-9.888201,-5.3458714,-3.5843825,-6.3794746,-10.456493,-6.682202,-9.563153,0.32336393,0.5427038,0.52982354,0.36958316,0.39890197,0.3361319,0.43474972,0.36098108,0.36592957,0.43007025,0.29152045,0.30658472,210,Folk
0.13741554,1769.811694438275,0.035362404,99.38401442307692,-180.64171,182.83743,-36.835552,13.958798,0.06842136,-5.7962832,-11.51406,-8.373258,-11.4852,-12.368464,-16.222168,-10.375202,-9.571686,0.29789042,0.36966458,0.54210025,0.33722463,0.29637405,0.36522403,0.5336634,0.40857226,0.27660525,0.2933534,0.19864903,0.33343282,211,Folk
0.11085054,2704.111725474625,0.038031038,99.38401442307692,-165.81697,158.74358,-17.908638,41.45353,-13.729248,24.61067,-7.8926644,-0.54960275,7.199326,-12.72552,2.1482174,-8.980668,2.9336536,0.35403565,0.40847573,0.5555056,0.37348253,0.33584726,0.3942932,0.5458357,0.46632946,0.35180315,0.3619583,0.27051073,0.39055553,212,Folk
0.067572966,1238.4435513820683,0.012555539,143.5546875,-305.0651,191.81038,11.594772,7.3278036,5.836569,10.055385,-12.556233,-10.391507,1.3965343,-3.0436468,-4.1880355,-8.247923,-5.764459,0.25170234,0.2806305,0.33174217,0.1709066,0.1295114,0.29969627,0.7022567,0.3615172,0.38706124,0.7026699,0.44649094,0.31902236,213,Pop
0.14222503,1275.544544926711,0.04942204,123.046875,-207.44205,215.43854,-23.800169,20.622465,-5.7394094,0.58984846,6.398925,-3.2679589,-2.142825,-4.535316,-3.6032686,-3.7548575,0.5781209,0.3586409,0.4747899,0.52397007,0.41805437,0.4164299,0.36278695,0.40003818,0.33346847,0.43269658,0.6833177,0.52090347,0.46009016,255,Rock
0.28620747,2670.760510300344,0.1130494,120.18531976744184,-33.06046,158.66603,-55.736843,34.215523,0.47294602,22.197708,-13.9295635,13.152492,-5.3233504,12.844653,-1.973446,4.250261,-0.124746785,0.56928074,0.62969595,0.6611048,0.61137295,0.5812199,0.5195291,0.5527065,0.58036923,0.59455776,0.6409575,0.65727377,0.58080024,256,Rock
0.07540106,1929.9303738152423,0.015921528,135.99917763157896,-301.8134,146.02634,23.692179,52.445465,-9.044938,35.89719,6.9220004,3.1849904,8.436798,3.2776856,5.1113563,-4.074642,8.332494,0.39835674,0.42803875,0.61653036,0.6813239,0.8034803,0.8284024,0.64386547,0.48179477,0.397762,0.37132415,0.36546084,0.3841413,368,Rock
